Lars2,Malat1,mature
9.95,6.69,1
10.54,8.53,1
6.58,8.74,1
7.49,9.09,1
7.42,9.87,1
6.89,8.29,1
6.91,10.43,1
7.42,8.6,1
7.32,9.52,1
6.52,9.6,1
6.17,8.21,1
6.55,8.45,1
9.8,8.52,1
7.4,8.62,1
7.66,8.25,1
6.86,8.59,1
8.24,8.21,1
7.13,9.56,1
7.65,8.36,1
6.98,8.12,1
6.81,9.45,1
7.28,8.71,1
6.91,9.65,1
6.84,8.28,1
6.92,8.45,1
10.03,8.9,1
7.17,10.4,1
7.07,8.51,1
6.29,9.55,1
6.15,9.48,1
6.96,8.61,1
7.07,9.05,1
8.23,8.49,1
7.58,9.45,1
8.12,7.92,1
6.98,8.4,1
8.1,9.06,1
7.33,8.56,1
6.97,8.28,1
6.99,8.77,1
7.23,9.71,1
6.95,9.51,1
7.57,8.55,1
7.75,8.74,1
7.62,10.01,1
7.49,8.69,1
7.54,8.18,1
6.69,10.01,1
6.54,8.87,1
7.09,8.71,1
7.47,9.14,1
6.78,8.73,1
7,8.34,1
6.53,8.5,1
7.1,9.15,1
7.01,8.62,1
6.96,8.54,1
7.31,8.36,1
6.72,8.54,1
6.88,8.05,1
6.14,8.82,1
7.12,8.8,1
7.74,9.68,1
6.78,8.43,1
7.77,8.18,1
7.58,8.59,1
7.55,8.01,1
8.38,8.62,1
8.96,8.98,1
6.75,9.85,1
5.44,9.42,1
6.61,9.01,1
6.54,8.52,1
6.35,9.07,1
6.41,8.34,1
7.51,8.48,1
8.42,8.69,1
6.92,8.22,1
6.13,9.25,1
7.72,8.83,1
6.77,8.31,1
9.38,9.09,1
8.68,8.48,1
8.69,4.57,1
8.62,9.44,1
8.99,8.35,1
8.08,7.71,1
7.54,8.79,1
7.69,8.16,1
8.34,9.15,1
7.92,9.76,1
8.18,8.83,1
8.27,8.68,1
6.8,7.22,1
7.91,9.2,1
7.08,8.45,1
8.77,8.03,1
9.46,7.86,1
7.24,7.58,1
8.1,7.49,1
7.6,7.4,1
7.78,7.73,1
7.25,7.35,1
6.69,8.57,1
6.78,9.67,1
7.32,9.97,1
7.56,9.53,1
8.18,9.97,1
7.03,9.91,1
6.8,9.38,1
7.91,10.49,1
8.44,10.31,1
7.39,10.05,1
6.44,10.11,1
7.43,10.57,1
6.06,10.03,1
7.37,10.08,1
7.25,10.09,1
7.4,9.89,1
7.68,10.23,1
7.05,9.79,1
7.78,9.94,1
7.09,10.56,1
7.14,8.93,1
7.35,8.88,1
7.97,9.15,1
7.92,9.92,1
7.6,9.32,1
7.57,9.13,1
6.59,8.44,1
6.85,9.1,1
7.29,9.24,1
7.99,9.08,1
7.52,8.77,1
8.2,9.08,1
8.66,10.15,1
